subassembly,fabrication_class,part_id,file_name,path,size_bytes,sha256
600,ALU_7075,ASV1_600_25A,ASV1_600_25A.step.STEP,mechanical/ASV1/600/FABRICATION/ALU_7075/ASV1_600_25A.step.STEP,247969,d075232de7171cc69b776e7b58449343c8d85f05e00a7dec539307dbeba9612e
600,ALU_7075,ASV1_600_36A,ASV1_600_36A.step.STEP,mechanical/ASV1/600/FABRICATION/ALU_7075/ASV1_600_36A.step.STEP,219834,8d846207a2c4279fc90b019084ee77b0aded78a6533314d1a938c28136dbf55a
600,SML_316L,ASV1_600_01B,ASV1_600_01B.step.STEP,mechanical/ASV1/600/FABRICATION/SML_316L/ASV1_600_01B.step.STEP,930923,aa55627da294ad391ae6beabf50dc9feb73154574a77e192fab64ca3f86cfdfe
600,SML_316L,ASV1_600_17B,ASV1_600_17B.step.STEP,mechanical/ASV1/600/FABRICATION/SML_316L/ASV1_600_17B.step.STEP,108049,82eb82e2d38cf819cbdf214d6d7324d8248873d212226d929b46f449d983ea40
600,SML_316L,ASV1_600_18B,ASV1_600_18B.step.STEP,mechanical/ASV1/600/FABRICATION/SML_316L/ASV1_600_18B.step.STEP,108036,86068d22f56211879cafbad16f7eb516e1e14ca89b3c8ccc963e6986bee8a86e
600,SML_316L,ASV1_600_26B,ASV1_600_26B.step.STEP,mechanical/ASV1/600/FABRICATION/SML_316L/ASV1_600_26B.step.STEP,610498,1e6d5ce73dd09d8db5ef1872cea16a61986c5507cfccc367fecb2abe17988ac2
600,MJF_PA12,ASV1_600_03C,ASV1_600_03C.step.STEP,mechanical/ASV1/600/FABRICATION/MJF_PA12/ASV1_600_03C.step.STEP,5546992,586988ced753a2066a451755c5afd8a9e4229d3ea1c88e4d81174fd3bc01e10c
600,MJF_PA12,ASV1_600_04C,ASV1_600_04C.step.STEP,mechanical/ASV1/600/FABRICATION/MJF_PA12/ASV1_600_04C.step.STEP,5514674,163034570355dbadd225e96fff6151ed01c688fc5be3005233f769cbfd8cb0d3
600,MJF_PA12,ASV1_600_10C,ASV1_600_10C.step.STEP,mechanical/ASV1/600/FABRICATION/MJF_PA12/ASV1_600_10C.step.STEP,4982535,95cd837e48e9ab3b63f36dd2de735eae256dd47b0f08973a8359df74165fe03f
600,MJF_PA12,ASV1_600_13C,ASV1_600_13C.step.STEP,mechanical/ASV1/600/FABRICATION/MJF_PA12/ASV1_600_13C.step.STEP,2122311,dbbfbe8c57368163866c4297245baf03b2a19f68511df848587996afa1489055
600,MJF_PA12,ASV1_600_14C,ASV1_600_14C.step.STEP,mechanical/ASV1/600/FABRICATION/MJF_PA12/ASV1_600_14C.step.STEP,1899076,b1d5fcff011088474300c0854044e943bed3674c4180c0ce02186f18043cc0cf
600,MJF_PA12,ASV1_600_37C,ASV1_600_37C.step.STEP,mechanical/ASV1/600/FABRICATION/MJF_PA12/ASV1_600_37C.step.STEP,3422933,65b273ddcb1769c07fd9b551c795cdfb7f7c79ca74529bf87cf14c0ac1b16ed0
600,MJF_PA12,ASV1_600_38C,ASV1_600_38C.step.STEP,mechanical/ASV1/600/FABRICATION/MJF_PA12/ASV1_600_38C.step.STEP,949556,181b441dab186d09e58674117300d795efa71e1a6385642e605c6c5c22a26be3
600,MJF_PA12,ASV1_600_39C,ASV1_600_39C.step.STEP,mechanical/ASV1/600/FABRICATION/MJF_PA12/ASV1_600_39C.step.STEP,954484,fdc0d9812e3587cfac396b9cc15e0c5bb48a868ce9ecadf23397d4709b2edde6
600,MJF_PA12,ASV1_600_40C,ASV1_600_40C.step.STEP,mechanical/ASV1/600/FABRICATION/MJF_PA12/ASV1_600_40C.step.STEP,460313,a4fcb1ac166334627f9e747c08d43fc42b0f08a496cd62cea4404fed3f2a6e71
600,OFF_THE_SHELF,ASV1_600_02X,ASV1_600_02X.step.STEP,mechanical/ASV1/600/FABRICATION/OFF_THE_SHELF/ASV1_600_02X.step.STEP,53924,722e30e15a48479c4cf8724b98bdc09e89f02845a96bd75b120264d42d0f9efd
